leader,vote,name,Sc,Sc_p,R-Sc,R-Sc_p,slots,Sc_p_lb,Sc_p_ub,Sc_p_flag,Sc_lb,Sc_ub,Sc_flag
HBNvkUX6QQSrF2o2d79np8HVAmd56xAJzomYcoHJs9Qq,2sWtnefPHSWVX1g3rAVBCwjLxRAKWqrUdMSTSHEccQmt,"",1.4813790560471978,0.4917035398230089,669.5833333333334,222.25000000000003,452,0.4019799726294088,0.5819647700634999,true,-0.012635310504091522,0.13696533695911797,true
7bLCyBuFdPFYbBuztRvqrX9e13Dt6mfpoxdnMDhXvZaV,9fgw3MScN9xDUTLZJaiqTBF9BmoASJGWmJCdUKSjzsXs,"",1.419955300127714,0.4900862068965518,7412.166666666668,2558.2500000000005,5220,0.4632344216193524,0.5169953210162757,true,0.04015413133796915,0.08417589511705731,true
CYhgRWDhcgLwwTo1XBKnzzVS3L3767ueyQmQjSeLeLbK,2NS9Jo3WJvxz6K1vnMdFVsVQXBLZZounC5w8n8AEHDCy,"",1.4469961240310079,0.4811046511627907,1244.4166666666667,413.75,860,0.41571976303048,0.5471431819175498,true,0.007937027977045007,0.11639299847798146,true
RUSHpmG4o1ydgySKRexRws7WMmu8nH5BaQgEAmwo2hK,2Gife8andd4BkEbT5CncpriPxmQYqbspDh8cXkN6RUSH,"RushChain",1.1136627906976746,0.4660206718346252,2873.2500000000005,1202.333333333333,2580,0.4281205068052047,0.5043172206639446,true,0.030856471345544347,0.0934735551094821,true
71M936kzQRe7eWrABba6yKqPsmTMVhijQqDNQP9qM9pP,DM8eVQwKYpFUq4MAC1XEeZMjV4T34LfvGkK9vca55GaY,"SpaceCat.ws 🚀 0% + MEV",1.0758196721311475,0.4619193989071038,1050,450.8333333333333,976,0.4008875913970354,0.5241143453273855,true,0.011261496624222898,0.11306852983080357,true
1znL3zFHi3znoaz6T6rnnEnRj8Ar3fohDq7ZNk37sUL,A1taSaBJrLMrqfWsPESYDujnZv5yD7bF35LjXoyNXhzN,"AltaBlock",1.0816540722082284,0.4593828715365239,3435.3333333333335,1459,3176,0.4252527802189957,0.49389828605233155,true,0.03394660915766526,0.0903834172973612,true
b8ThsbsARWyjqWrBdU9JNFhXg8ZAjDaJtaqXXzy1sRS,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,"MARGUS.ONE 💎 0% fee +MEV!",1.0231299212598426,0.44931102362204733,1039.5,456.5000000000001,1016,0.3897828723352323,0.510327365737066,true,0.012273595986760831,0.11205643046826563,true
BJu6CLyEP2M5Fvj88DF7ZcJYhs9qb2FYBBrVKwrFYoQk,HAK7iPgQTFwqEzPfVrRDbG5epFdk1dsA9qQexytsDoes,"StakeShip 🛳  Additional rewards",1.0444958847736627,0.4487311385459534,3045.7500000000005,1308.5000000000002,2916,0.41325344060616864,0.484738352316064,true,0.03271544477911639,0.09161458167591006,true
Goo7uPA1ASVX2Ws4JW1eAjQxBcTtjMdpAHBtPBzi8yN6,H7JJ6aE73ufbUuDCZSQMxguQsj28XHe4VQyMk2hsVGoo,"GOOSE",0.9951538768984813,0.44569344524380494,1659.916666666667,743.4166666666666,1668,0.39904369444384186,0.4933199703113174,true,0.02322692079506506,0.10110310565996139,true
4o2TxN5RNxjiLvEbK56ZyaZ1bg3ZTgaTLpPRqi8vEkRS,8guXF5HQVU4g71ZCnn6aEJxQyb59NaEc4XCGjF5arsiH,"BLOCKPRIME 💠",0.9826388888888887,0.44531249999999994,94.33333333333331,42.74999999999999,96,0.26919103492862684,0.6363307278536032,true,-0.10014192242089992,0.22447194887592636,true
5rtCpCsHQUdh48zfWSo3VHmWoPoJ33PqA8BJtxojyz5Q,2qD6yvLwy3ckWxsS1iQwrkCjLgcvH1u9PLu5m9KRRn5x,"___",1.0767594740912607,0.4452339520494973,1856.3333333333335,767.5833333333334,1724,0.39934234812873165,0.4920788766859506,true,0.023864546690403443,0.10046547976462301,true
STA5dMZHibCkLtWGXmEADpdkR8VRkGTJf1gTSMyJ1YU,D8aGMETy3q6ymADJs7YS81QY2qTQmptVox3iCfGDgSTA,"SolTA",1.0457758620689657,0.44212643678160923,3032.7500000000005,1282.1666666666667,2900,0.4066385115846997,0.4782153732897751,true,0.03263431633766948,0.09169571011735697,true
HLXxkmjb47spcmbbKi3UCfZ2qmFY29t8MN562AEmh2Qh,HLXktVmNFeELB5uL5nrpP4WL7jyi3TMyekxASVjDhZ1t,"🧬 HelixNode jitoMEV 0% fee 🧬",1.1458333333333335,0.43750000000000006,4.583333333333334,1.7500000000000002,4,0.04297825031807262,0.9308939500382867,true,-0.7329733348792014,0.8573033613342278,true
custm2hZdfZKpL5xGCUpShF23h7uXFVtL6fK7r5Ca7g,5ni6KoVM62cRJNfFFKGdiyDfYbKWWAGZ21cfGZcj1y66,"Custodian 💼 0% fees +MEV!",1.5859375,0.4348958333333334,50.75,13.91666666666667,32,0.174098808231329,0.7375058182134695,true,-0.2189588457363505,0.34328887219137694,true
impuzqtjwjxwHouDxv9qJ2EZd986ZeYWvHNzgPgaG3M,AjdEzodq5LpRA63AtQaiHyTLDfjTkr6csrtYWiSDPjaK,"IMPULSE⚡️",1.151851851851852,0.43425925925925934,207.33333333333334,78.16666666666669,180,0.3012168046467571,0.577500699375953,true,-0.05636721329805377,0.18069723975308022,true
6dwKX2BK1JowEVXvKemcfw2arNeTe6RHYrs4FomxSVPw,,"private",1.087043671102013,0.4339033890594791,12744.500000000002,5087.083333333333,11724,0.4161917148922569,0.4517855161213914,true,0.047477955901650847,0.0768520705533756,true
CbyfiyQAy9pyWKrAv3KViqHgcDPQ9ECmYx3eaQoV5hBw,HFLsfstZkJeWDgVEA5fmXeea876Ad9f1VxrbXk386bBY,"Consensus 🤝",1.0166910331384014,0.4329312865497076,1390.833333333333,592.25,1368,0.3818265832429623,0.48550395660419104,true,0.019168855619033823,0.10516117083599263,true
caraQ1NEwdXDjP8RE28XhiPmzCGNqF5zLNqvjoeDNQ3,CaraHZBReeNNYAJ326DFsvy41M2p1KWTEoBAwBL6bmWZ,"CARASOL",0.7131410256410257,0.42467948717948717,37.083333333333336,22.083333333333332,52,0.20634336778336373,0.6769792750705814,true,-0.15836668563298634,0.2826967120880128,true
F9Sq9BxVPCBG4UMU1XAF8JBSeKhyWQdLv2PPizy1xQZx,8RaPWvLNqanZCvrQLsou1hmSj3srN7H6ds8AR9LwiqNa,"enderSOL Validator",1.0064655172413792,0.4181393678160919,2335,970.0833333333333,2320,0.378953744488759,0.45838625685541273,true,0.029148690393197105,0.09518133606182935,true
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,6xwWwNVXJLGhgPfBpew7UDcSjQr73McXSRK2EhdhcL1u,"Paradigm 🧿",0.8389227642276422,0.3953887195121952,1100.6666666666665,518.7500000000001,1312,0.34435169541632876,0.448812039021164,true,0.018260842616484703,0.10606918383854175,true
Bs1AYgU6v6MiKivhpNpHnU9VePJAfdeC1yC3FuRaBWNa,FPjq7vB2V3TiseJJSPsp47UWSfT4AwvKjiU7GEro7bX9,"Aspis 🛡 +MEV",0.8636945392491469,0.38669653014789535,2024.5000000000002,906.4166666666667,2344,0.3484079905839417,0.4264390263397143,true,0.02931815082521437,0.09501187562981209,true
C4bgengueVA9cRcprjutgu9XgvgoaaFnCqvpZaPy27xx,7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N,"",0.5512387387387389,0.37443693693693697,81.58333333333336,55.41666666666667,148,0.23820489954682839,0.5339698135869106,true,-0.06855492596888532,0.19288495242391177,true
CyUEJ2KvRCDZqPM5PZ7RVznyjsto8zKc5or6CJZJDPda,,"IMPULSE⚡️",0.8129984051036683,0.37101275917065396,679.6666666666666,310.1666666666667,836,0.30884427604568915,0.4377690877743455,true,0.007164143611513997,0.11716588284351245,true
CZLU7uNs1SNvmV1vodR29hwJFjQ2eVUXsQJwGt2SKVKk,,"Custodian 💼 0% fees +MEV!",0.7428030303030303,0.3704545454545455,163.41666666666666,81.5,220,0.25598213067700326,0.5016056949027183,true,-0.045051419759046064,0.16938144621407253,true
DhKrFYrbiNJSJbVN242Bmi8izphkX6M68mf5R7A2vHgp,GioetmC79nLRnN7VDfHaq8coWAEFPJKu9py59uUqdV5U,"___",0.8252403846153847,0.3418269230769231,858.2500000000001,355.5,1040,0.28723946346897483,0.4009525988767812,true,0.012852626242954232,0.11147740021207223,true
JDktbt24QhX6B8x56hL5zruVuw44qYaox5jN2cSeM99k,89jnaTMuq5aXUkmpLbykRNaU16i7Du6QywqqPeCPT1Dy,"Insane",0.5992063492063493,0.3412698412698413,50.33333333333334,28.666666666666668,84,0.1786587962888955,0.5523523705063498,true,-0.11134839954206613,0.23567842599709257,true
F4kMP5Sn9fgYLK78CHgMqSgvLhw1teasc32ynvuMtHjh,Anv7J9kMdJWr1aU6rQvQyd24zBp5GscP8NeDpRqGKz8e,"StrikeTeam",0.8391927083333333,0.34016927083333337,429.66666666666663,174.16666666666669,512,0.2643457836078828,0.42517182151447047,true,-0.0081159515134527,0.13244597796847915,true
CBHHTRa6YtuUbNA1v6b18cAXExtbBEDRFshJiEJYjWzC,5VocRSwT6cqSTB8qcJ8CsSmHCmGNnohXySHWWQRfmv3a,"SunnyNode 🔥0% fee + Jito MEV🔥",0.4575320512820513,0.3373397435897436,47.583333333333336,35.083333333333336,104,0.1882158097043729,0.5277967049192106,true,-0.09377444650333563,0.21810447295836208,true
8ypigreunb34pCiQRqZzQoie2ej5prAjovUq7sHB6gMZ,DsT3eKbWAaX9wVZQYBsbkDwpFA9NTDtXfsYc9wXUEWpn,"vilar",0.6837002096436058,0.3326781970649895,434.83333333333326,211.58333333333334,636,0.26462377623689226,0.4085119391590535,true,-0.0008935595556203366,0.1252235860106468,true
BLhx1pi4rCLZY2qTqLmUAueLXzPzprhaiarysxLbFwVa,3fntToRUTyDpSoLF1QMZgpF5HoDcSmvBisXoyKASMaaH,"toRoot Validator",0.4579510703363915,0.3239678899082568,199.66666666666669,141.24999999999997,436,0.24394817464645122,0.41580019381561106,true,-0.013995427792880481,0.13832545424790693,true
C1WasioKLnB2D9xiTQ2aDLS2cWKzaHLCVdDNMvgYtNMT,39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw,"kerak69 💥0% fee + Jito MEV💥",0.4535203520352035,0.3138751375137514,549.6666666666666,380.4166666666667,1212,0.26457930280107417,0.36776266468709135,true,0.01648550866154485,0.10784451779348161,true
4JryygoiM1j324fYkeBzcQDcwRfd2WpgkEzUePFj1rJY,8ge8UzG9FyW4NDZ6zzZiUypnbcNQ3nUfTBKndxsmWqSB,"Legio🔥ReZero | 0% (fee+MEV)",0.4624001141552511,0.3067208904109589,540.0833333333333,358.25,1168,0.2569767023125476,0.3614105913911611,true,0.01563306100649018,0.10869696544853627,true
3Kzdcmu6yWE4AEhFdxAoWncLijpwzNB95JThHRXzvf5k,6GoijNiK3JZVAY96ykCfPhcJnrQfrQMLvrQaX5HyMVhu,"byasa mencius",0.45169712793733685,0.3065165361183638,692,469.58333333333337,1532,0.2627669391489522,0.35405209737794296,true,0.0215353416100389,0.10279468484498755,true
